name,entry,basic_blocks,callees
sub_40f510,0x40f510,3,2
sub_40f540,0x40f540,5,2
sub_40f580,0x40f580,3,2
sub_40f5b0,0x40f5b0,3,2
sub_40f5e0,0x40f5e0,5,2
sub_40f620,0x40f620,3,2
sub_40f650,0x40f650,5,2
sub_40f690,0x40f690,5,2
sub_40f6d0,0x40f6d0,3,2
sub_40f700,0x40f700,3,2
sub_40f730,0x40f730,5,2
sub_40f770,0x40f770,3,2
sub_40f7a0,0x40f7a0,5,2
sub_40f7e0,0x40f7e0,11,2
sub_40f840,0x40f840,7,2
sub_40f890,0x40f890,3,3
sub_40f900,0x40f900,5,2
sub_40f940,0x40f940,3,2
sub_40f970,0x40f970,3,2
sub_40f9a0,0x40f9a0,5,2
sub_40f9e0,0x40f9e0,3,2
sub_40fa10,0x40fa10,3,2
sub_40fa40,0x40fa40,3,2
sub_40fa70,0x40fa70,3,2
sub_40faa0,0x40faa0,3,2
sub_40fad0,0x40fad0,3,2
sub_40fb00,0x40fb00,3,2
sub_40fb30,0x40fb30,3,2
sub_40fb60,0x40fb60,3,2
sub_40fb90,0x40fb90,3,2
sub_40fbc0,0x40fbc0,5,3
sub_40fc00,0x40fc00,3,2
sub_40fc30,0x40fc30,3,2
sub_40fc60,0x40fc60,3,2
sub_40fc90,0x40fc90,5,3
sub_40fce0,0x40fce0,3,2
sub_40fd10,0x40fd10,3,2
sub_40fd40,0x40fd40,3,2
sub_40fd70,0x40fd70,3,2
sub_40fda0,0x40fda0,3,2
sub_40fdd0,0x40fdd0,3,2
sub_40fe00,0x40fe00,3,2
sub_40fe30,0x40fe30,5,2
sub_40fe70,0x40fe70,5,2
sub_40feb0,0x40feb0,3,2
sub_40fee0,0x40fee0,3,2
sub_40ff10,0x40ff10,3,2
sub_40ff40,0x40ff40,3,2
sub_40ff70,0x40ff70,3,2
sub_40ffa0,0x40ffa0,3,2
sub_40ffd0,0x40ffd0,5,2
sub_410020,0x410020,3,2
sub_410045,0x410045,1,0
sub_410046,0x410046,1,0
sub_410050,0x410050,5,2
sub_410090,0x410090,3,2
sub_4100c0,0x4100c0,9,2
sub_410110,0x410110,3,2
sub_410140,0x410140,7,3
sub_410190,0x410190,5,2
sub_4101d0,0x4101d0,5,2
sub_410210,0x410210,3,2
sub_410240,0x410240,3,2
sub_410270,0x410270,3,2
sub_4102a0,0x4102a0,3,2
sub_4102d0,0x4102d0,3,2
sub_410300,0x410300,3,2
sub_410330,0x410330,3,2
sub_410360,0x410360,3,2
sub_410390,0x410390,3,2
sub_4103c0,0x4103c0,3,2
sub_4103f0,0x4103f0,3,2
sub_410420,0x410420,3,2
sub_410450,0x410450,3,2
sub_410480,0x410480,3,2
sub_4104b0,0x4104b0,5,2
sub_4104f0,0x4104f0,3,2
sub_410520,0x410520,3,2
sub_410550,0x410550,5,3
sub_410590,0x410590,3,2
sub_4105c0,0x4105c0,3,2
sub_4105f0,0x4105f0,3,2
sub_410620,0x410620,3,2
sub_410650,0x410650,3,2
sub_410680,0x410680,3,2
sub_4106b0,0x4106b0,7,2
sub_410700,0x410700,9,2
sub_410760,0x410760,5,2
sub_4107b0,0x4107b0,3,2
sub_4107e0,0x4107e0,5,3
sub_410820,0x410820,3,2
sub_410850,0x410850,5,2
sub_410890,0x410890,5,2
sub_4108d0,0x4108d0,3,2
sub_410900,0x410900,3,2
sub_410930,0x410930,3,2
sub_410960,0x410960,3,2
sub_410990,0x410990,5,2
sub_4109d0,0x4109d0,3,2
sub_410a00,0x410a00,5,3
sub_410a40,0x410a40,3,2
sub_410a70,0x410a70,5,2
sub_410ab0,0x410ab0,3,2
sub_410ae0,0x410ae0,7,2
sub_410b30,0x410b30,3,2
sub_410b60,0x410b60,5,2
sub_410ba0,0x410ba0,3,1
sub_410bd0,0x410bd0,3,2
sub_410c00,0x410c00,3,2
sub_410c30,0x410c30,3,2
sub_410c60,0x410c60,5,2
sub_410cb0,0x410cb0,3,2
sub_410ce0,0x410ce0,3,2
sub_410d10,0x410d10,3,2
sub_410d40,0x410d40,3,2
sub_410d70,0x410d70,3,2
sub_410da0,0x410da0,5,2
sub_410de0,0x410de0,5,2
sub_410e20,0x410e20,3,2
sub_410e50,0x410e50,3,2
sub_410e80,0x410e80,3,2
sub_410eb0,0x410eb0,3,2
sub_410ee0,0x410ee0,5,2
sub_410f20,0x410f20,3,2
sub_410f50,0x410f50,3,2
sub_410f80,0x410f80,3,2
sub_410fb0,0x410fb0,3,2
sub_410fe0,0x410fe0,3,2
sub_411010,0x411010,3,2
sub_411040,0x411040,3,3
sub_411080,0x411080,3,2
sub_4110b0,0x4110b0,3,2
sub_4110e0,0x4110e0,3,2
sub_411110,0x411110,5,2
sub_411150,0x411150,3,2
sub_411180,0x411180,3,2
sub_4111b0,0x4111b0,11,2
sub_411210,0x411210,3,3
sub_411250,0x411250,7,2
sub_4112a0,0x4112a0,3,2
sub_4112d0,0x4112d0,3,2
sub_411300,0x411300,3,2
sub_411330,0x411330,3,2
sub_411360,0x411360,3,2
sub_411390,0x411390,3,3
sub_4113d0,0x4113d0,3,2
sub_411400,0x411400,3,2
sub_411430,0x411430,3,2
sub_411460,0x411460,3,3
sub_4114d0,0x4114d0,3,2
sub_411500,0x411500,5,3
sub_411540,0x411540,3,2
sub_41155b,0x41155b,1,0
sub_411570,0x411570,3,2
sub_4115a0,0x4115a0,5,2
sub_4115e0,0x4115e0,3,2
sub_411610,0x411610,3,2
sub_411640,0x411640,3,2
sub_411670,0x411670,3,2
sub_4116a0,0x4116a0,3,2
sub_4116d0,0x4116d0,3,2
sub_4116eb,0x4116eb,1,0
sub_411700,0x411700,3,2
sub_411730,0x411730,3,2
sub_411760,0x411760,3,2
sub_411790,0x411790,5,2
sub_4117d0,0x4117d0,3,2
sub_411800,0x411800,5,2
sub_411840,0x411840,3,2
sub_411870,0x411870,7,2
sub_4118c0,0x4118c0,7,3
sub_411910,0x411910,5,2
sub_411950,0x411950,5,2
sub_411990,0x411990,3,2
sub_4119c0,0x4119c0,3,2
sub_4119f0,0x4119f0,3,2
sub_411a20,0x411a20,3,2
sub_411a50,0x411a50,3,2
sub_411a80,0x411a80,3,2
sub_411ab0,0x411ab0,3,2
sub_411ae0,0x411ae0,3,2
sub_411b10,0x411b10,3,2
sub_411b40,0x411b40,9,3
sub_411bb0,0x411bb0,5,2
sub_411bf0,0x411bf0,3,2
sub_411c20,0x411c20,3,2
sub_411c50,0x411c50,3,2
sub_411c80,0x411c80,3,2
sub_411cb0,0x411cb0,3,2
sub_411ce0,0x411ce0,3,2
sub_411d10,0x411d10,3,2
sub_411d40,0x411d40,3,2
sub_411d70,0x411d70,3,2
sub_411da0,0x411da0,3,2
sub_411dd0,0x411dd0,13,2
sub_411e40,0x411e40,5,3
sub_411e90,0x411e90,5,2
sub_411ee0,0x411ee0,3,2
sub_411f10,0x411f10,3,2
sub_411f40,0x411f40,9,2
sub_411fa0,0x411fa0,3,2
sub_411fd0,0x411fd0,3,2
sub_412000,0x412000,3,2
sub_412030,0x412030,3,2
sub_412060,0x412060,3,2
sub_412090,0x412090,3,2
sub_4120c0,0x4120c0,3,2
sub_4120f0,0x4120f0,3,2
sub_412120,0x412120,5,2
sub_412160,0x412160,3,2
sub_412190,0x412190,3,2
sub_4121c0,0x4121c0,5,2
sub_412200,0x412200,5,2
sub_412240,0x412240,3,2
sub_412270,0x412270,3,2
sub_4122a0,0x4122a0,3,2
sub_4122d0,0x4122d0,3,2
sub_412300,0x412300,3,2
sub_412330,0x412330,3,2
sub_412360,0x412360,3,2
sub_412390,0x412390,3,2
sub_4123c0,0x4123c0,11,2
sub_412420,0x412420,3,2
sub_412450,0x412450,5,3
sub_412490,0x412490,3,2
sub_4124c0,0x4124c0,3,2
sub_4124f0,0x4124f0,3,2
sub_412520,0x412520,3,2
sub_412550,0x412550,3,2
sub_412580,0x412580,3,2
sub_4125b0,0x4125b0,3,2
sub_4125e0,0x4125e0,3,2
sub_412610,0x412610,3,2
sub_412640,0x412640,3,2
sub_412670,0x412670,3,2
sub_4126a0,0x4126a0,3,2
sub_4126d0,0x4126d0,3,2
sub_412700,0x412700,3,2
sub_412730,0x412730,3,2
sub_412760,0x412760,3,2
sub_412790,0x412790,5,2
sub_4127d0,0x4127d0,3,2
sub_412800,0x412800,5,2
sub_412860,0x412860,5,2
sub_4128d0,0x4128d0,5,0
sub_412910,0x412910,1,1
sub_412930,0x412930,7,0
sub_412970,0x412970,7,0
sub_4129b0,0x4129b0,7,0
sub_4129f0,0x4129f0,6,0
sub_4129f4,0x4129f4,6,0
sub_412a30,0x412a30,7,0
sub_412a70,0x412a70,7,0
sub_412ab0,0x412ab0,7,0
sub_412af0,0x412af0,7,0
sub_412b30,0x412b30,7,0
sub_412b70,0x412b70,6,0
sub_412bb0,0x412bb0,6,0
sub_412bf0,0x412bf0,6,0
sub_412c30,0x412c30,6,0
sub_412c70,0x412c70,7,0
sub_412cb0,0x412cb0,7,0
sub_412cf0,0x412cf0,7,0
sub_412d30,0x412d30,7,0
sub_412d70,0x412d70,7,0
sub_412db0,0x412db0,6,0
sub_412df0,0x412df0,6,0
sub_412e30,0x412e30,7,0
sub_412e70,0x412e70,7,0
sub_412eb0,0x412eb0,7,0
sub_412ef0,0x412ef0,6,0
sub_412f30,0x412f30,7,0
sub_412f70,0x412f70,6,0
sub_412fb0,0x412fb0,6,0
sub_413000,0x413000,8,1
sub_413040,0x413040,1,0
sub_413060,0x413060,7,0
sub_4130a0,0x4130a0,7,0
sub_4130e0,0x4130e0,6,0
sub_413120,0x413120,7,0
sub_413160,0x413160,7,0
sub_4131a0,0x4131a0,7,0
sub_4131e0,0x4131e0,6,0
sub_413220,0x413220,7,0
sub_413260,0x413260,6,0
sub_4132a0,0x4132a0,6,0
sub_4132e0,0x4132e0,7,0
sub_413320,0x413320,7,0
sub_413360,0x413360,7,0
sub_4133a0,0x4133a0,6,0
sub_4133a4,0x4133a4,6,0
sub_4133e0,0x4133e0,7,0
sub_413420,0x413420,7,0
sub_413460,0x413460,7,0
sub_4134a0,0x4134a0,7,0
sub_4134e0,0x4134e0,7,0
sub_413520,0x413520,6,0
sub_413560,0x413560,7,0
sub_4135a0,0x4135a0,7,0
sub_4135e0,0x4135e0,6,0
